email,phone_number,pseudo,Campus,lastName,firstName
johndoe1@example.com,555-1234,jdoe,North Campus,Doe,John
janedoe2@example.com,555-5678,jane_d,East Campus,Doe,Jane
michaelsmith3@example.com,555-9101,msmith,West Campus,Smith,Michael
emilyjohnson4@example.com,555-1122,em_johnson,South Campus,Johnson,Emily
alexwilliams5@example.com,555-3344,alexw,North Campus,Williams,Alex
sarahjones6@example.com,555-5566,sjones,East Campus,Jones,Sarah
robertbrown7@example.com,555-7788,rbrown,West Campus,Brown,Robert
lisawilson8@example.com,555-9900,lwilson,South Campus,Wilson,Lisa
kevinlee9@example.com,555-2211,klee,North Campus,Lee,Kevin
lauraclark10@example.com,555-3345,lclark,East Campus,Clark,Laura
